player,clutch_score,gs_diff,fg_pct_diff,to_rate_diff
S. O'Neal,2.339248541944848,199.49782608695656,0.0097822265152713,23.67391304347826
M. Harpring,1.6386659868274933,5.049999999999999,0.8,0.5
V. Carter,1.5545394659391654,149.84347826086957,0.0109573535855119,23.08695652173913
S. Roberts,1.4031753899056862,-0.2500000000000003,0.7333333333333334,0.4782608695652174
S. Abdur-Rahim,1.3289119800773965,127.76956521739125,0.025292044729321,19.630434782608692
R. Robertson,1.3014398717734288,1.895652173913044,0.6666666666666666,0.0
J. Rose,1.2795312795462208,129.7673913043478,-0.001244709982574,20.39130434782609
I. Bowman,1.2732291477409943,1.043478260869565,0.6666666666666666,0.5
K. Malone,1.2261652389263777,134.18260869565222,-0.0155169502302629,23.608695652173918
R. Miller,1.2090259988783665,109.46521739130436,-0.0308695652173913,9.108695652173914
G. Payton,1.001577431514741,114.38695652173918,0.038211466340675,24.47826086956522
B. Wells,0.9613193442769083,100.20434782608696,0.0780781924346281,21.02173913043478
C. Mobley,0.9608579765904335,125.5217391304348,-0.0042848918496586,28.82608695652174
M. Conlon,0.9047766678491961,0.6000000000000001,0.5,0.0
T. Best,0.8985417770482441,115.27608695652177,0.0366905155017428,28.43478260869565
E. Jones,0.8516633462157533,106.0,-0.0466774280333602,18.32608695652174
P. Stojakovic,0.8488087737190575,90.06304347826088,0.0132186653925784,14.152173913043478
M. Finley,0.8301255219271095,105.46521739130434,-0.0276558192452995,20.26086956521739
D. Nowitzki,0.7977972722961981,89.51304347826085,-0.0121298281969109,13.630434782608695
E. Recasner,0.7672584647192048,2.0499999999999994,0.4285714285714285,0.0
