player,clutch_score,gs_diff,fg_pct_diff,to_rate_diff
D. DeRozan,2.6693671223731417,197.4934782608696,0.054752382703564,14.608695652173914
M. Bridges,2.305666570036972,189.8434782608696,0.0109002924383789,19.5
W. Selden,2.049378349819649,1.6847826086956523,1.0,0.0
A. Caver,2.0358570425705707,0.85,1.0,0.0
T. Terry,2.032617562708812,0.6499999999999999,1.0,0.0
M. McClung,2.0136904930249995,2.15,1.0,1.5
D. Collison,1.6642572072940518,1.0630434782608695,0.8333333333333334,-0.0217391304347826
S. Curry,1.5729897062777862,167.204347826087,0.0083321483868928,32.0
J. Green,1.5026940455755027,171.1717391304348,0.0172801422677363,37.369565217391305
G. Antetokounmpo,1.488022102700846,162.83478260869563,-0.0093582887700534,31.108695652173918
B. Bogdanovic,1.4511829560109522,132.98260869565215,-0.0254552251935257,14.347826086956522
C. Johnson,1.430102325589552,102.6239130434783,0.0902468557143973,7.065217391304348
B. Hield,1.3158202994106662,111.87173913043478,0.0736955241581801,14.934782608695652
M. Wright IV,1.2749545228847567,1.15,0.6666666666666666,0.5
K. Oubre Jr.,1.2521822657977186,96.95217391304348,0.0562387877830555,7.391304347826087
S. Doumbouya,1.2484244144373084,6.2,0.625,1.0
T. Young,1.2384297517037481,138.07608695652178,0.0103021466353061,27.39130434782609
B. Clarke,1.2353375681601264,98.46739130434784,0.0506613756613757,8.391304347826086
S. Bey,1.2099837208837554,91.29782608695652,0.05702805481811,5.739130434782608
K. Jones,1.2026991821495228,4.450000000000001,0.6428571428571429,3.0
