player,clutch_score,gs_diff,fg_pct_diff,to_rate_diff
I. Thomas,2.705646810126601,217.08260869565223,0.0117877286384481,21.0
J. Stokes,2.042265578818832,1.2456521739130435,1.0,0.0
R. Westbrook,1.9222147918085848,194.09347826086952,0.0047803138504358,34.71739130434783
L. Williams,1.8095464006411595,171.05869565217392,-0.0050159880329916,24.91304347826087
K. Leonard,1.7611250822081392,160.93043478260867,-0.0287526775416048,19.043478260869566
G. Vasquez,1.7201436908071832,1.2000000000000002,0.8571428571428572,-0.0217391304347826
A. Davis,1.5956781161308462,135.8304347826087,-0.0287815126050419,10.673913043478262
B. Beal,1.5285563847231018,145.21086956521745,-0.0131354256921019,19.5
D. Jackson,1.5266028178079356,4.199999999999999,0.75,0.0
G. Hayward,1.4642335012450292,127.38043478260872,0.0050281947294437,13.130434782608695
S. Curry,1.3606151828892066,144.34565217391307,0.0214019914720126,27.543478260869566
C. Onuaku,1.3516235218082664,5.767391304347826,0.6666666666666667,0.4347826086956521
D. DeRozan,1.3205979063292532,104.79130434782611,0.0188657183696163,6.5
K. Lowry,1.3173222478008904,132.07608695652175,-0.00746087425796,19.89130434782609
T. Johnson,1.2625988880729921,102.28913043478263,0.0697537977998952,11.08695652173913
M. Conley,1.2031976023297777,131.0586956521739,-0.0449446138271198,20.347826086956523
J. Butler,1.1574260107593624,115.67608695652171,-0.0361405958456386,13.978260869565217
L. James,1.1344907094829946,156.42173913043482,-0.0414688216174113,37.26086956521739
D. Cousins,1.1048983941798343,135.84347826086952,-0.0042703720669822,29.630434782608692
K. Durant,1.103260056845214,111.00434782608691,-0.0274341797787817,13.91304347826087
