player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
K. Gill,0.4567901234567901,0.4393268379096545,0.0174632855471355,25.0,3.652173913043478,21.347826086956523,139.40000000000006,15.260869565217394,124.13913043478269,1997,0,0,0,5,5,0,0,0
T. Brandon,0.4403973509933774,0.437190900098912,0.0032064508944654,22.0,2.9130434782608696,19.08695652173913,120.35,12.089130434782607,108.2608695652174,1997,0,0,0,5,0,0,0,0
M. West,0.5833333333333334,0.5535714285714286,0.0297619047619047,3.0,1.0,2.0,3.9,1.7304347826086952,2.1695652173913054,1997,1,3,3,3,6,2,2,2
T. Hill,0.6239316239316239,0.5941422594142259,0.0297893645173979,19.5,2.347826086956522,17.152173913043477,69.9,11.171739130434789,58.72826086956522,1997,0,1,4,0,0,4,4,8
J. Williams,0.375886524822695,0.4203539823008849,-0.0444674574781899,11.5,1.5869565217391304,9.91304347826087,34.4,5.141304347826086,29.258695652173916,1997,1,1,1,4,1,1,1,9
R. Pack,0.3555555555555555,0.4054580896686159,-0.0499025341130603,28.5,3.4782608695652173,25.02173913043478,25.79999999999999,4.110869565217394,21.6891304347826,1997,0,1,4,4,4,1,4,4
E. O'Bannon,0.3238095238095238,0.3390804597701149,-0.015270935960591,2.5,0.3260869565217391,2.1739130434782608,21.15000000000001,1.026086956521739,20.123913043478268,1997,1,3,3,3,1,2,2,7
D. Ferry,0.4108910891089108,0.4358108108108108,-0.0249197217018999,14.5,1.4130434782608696,13.08695652173913,52.150000000000006,6.647826086956522,45.502173913043485,1997,0,1,4,4,4,1,4,4
X. McDaniel,0.4571428571428571,0.36,0.0971428571428571,7.5,1.1956521739130437,6.304347826086957,33.45,1.7217391304347824,31.72826086956522,1997,1,1,1,4,1,7,7,7
R. Geary,0.4324324324324324,0.2857142857142857,0.1467181467181467,4.5,0.1304347826086956,4.369565217391305,6.65,-0.0521739130434782,6.702173913043478,1997,1,3,1,1,6,7,7,7
V. Askew,0.4339622641509434,0.4360902255639097,-0.0021279614129663,7.5,0.6739130434782609,6.826086956521739,8.900000000000006,1.4652173913043474,7.434782608695658,1997,1,3,1,3,1,7,2,7
K. Kittles,0.4243421052631579,0.4271186440677966,-0.0027765388046386,20.0,1.891304347826087,18.108695652173918,107.45000000000005,11.784782608695652,95.6652173913044,1997,0,0,0,5,0,0,0,8
D. Marshall,0.3523809523809524,0.4136986301369863,-0.0613176777560339,14.0,1.173913043478261,12.826086956521738,48.2,4.178260869565217,44.02173913043479,1997,0,1,4,4,4,1,1,4
V. Potapenko,0.4285714285714285,0.4448275862068965,-0.016256157635468,14.0,1.7608695652173914,12.23913043478261,22.950000000000003,1.7282608695652173,21.221739130434784,1997,1,1,1,4,1,1,1,4
A. Lang,0.3950617283950617,0.458966565349544,-0.0639048369544823,13.0,1.3695652173913044,11.630434782608695,15.70000000000001,3.880434782608696,11.819565217391316,1997,1,1,1,4,1,1,1,1
K. Reeves,0.4152542372881356,0.3835227272727273,0.0317315100154083,12.5,1.8043478260869563,10.695652173913045,24.79999999999999,2.1717391304347835,22.628260869565207,1997,1,1,1,4,1,1,1,7
T. Massenburg,0.5454545454545454,0.4697802197802198,0.0756743256743256,13.5,1.391304347826087,12.108695652173914,37.7,5.406521739130435,32.29347826086957,1997,1,1,1,4,4,1,1,4
C. Thomas,0.3684210526315789,0.4,-0.031578947368421,3.0,0.0,3.0,0.0499999999999998,0.0956521739130434,-0.0456521739130436,1997,1,3,3,3,6,2,2,2
D. Coleman,0.3809523809523809,0.4450704225352113,-0.0641180415828303,16.0,3.3043478260869565,12.695652173913045,34.05,9.943478260869568,24.10652173913043,1997,1,1,1,4,1,1,1,4
C. Weatherspoon,0.4444444444444444,0.5015197568389058,-0.0570753123944614,13.5,2.391304347826087,11.108695652173914,53.19999999999999,11.400000000000004,41.79999999999998,1997,0,1,4,4,4,1,1,9
V. Baker,0.4712230215827338,0.5149023638232272,-0.0436793422404933,27.0,4.152173913043479,22.847826086956523,85.44999999999997,16.19565217391305,69.25434782608693,1997,0,0,4,0,0,4,4,8
S. Douglas,0.4259259259259259,0.5179282868525896,-0.0920023609266637,10.0,2.891304347826087,7.108695652173913,25.65000000000001,6.282608695652174,19.367391304347837,1997,1,3,1,4,1,1,1,1
A. Iverson,0.456,0.4021257750221435,0.0538742249778565,44.5,5.391304347826087,39.10869565217392,122.65,10.680434782608698,111.9695652173913,1997,0,0,0,5,5,0,0,0
G. Robinson,0.4223826714801444,0.4754521963824289,-0.0530695249022845,31.5,4.478260869565218,27.02173913043478,70.5,14.62608695652174,55.87391304347826,1997,0,0,4,0,0,4,4,8
J. Stackhouse,0.4301075268817204,0.4013605442176871,0.0287469826640333,33.0,5.434782608695652,27.565217391304348,105.7,10.660869565217393,95.0391304347826,1997,0,0,0,5,0,0,0,0
R. Allen,0.4143646408839779,0.4332874828060523,-0.0189228419220743,13.0,2.6739130434782608,10.326086956521738,66.7,8.878260869565219,57.82173913043479,1997,0,1,4,0,4,4,8,9
M. Cage,0.3125,0.488,-0.1755,1.0,0.3260869565217391,0.6739130434782609,11.649999999999997,2.739130434782608,8.91086956521739,1997,1,3,3,3,3,2,2,1
S. Williams,0.5,0.5114503816793893,-0.0114503816793892,4.0,0.9130434782608696,3.0869565217391304,22.6,3.9239130434782608,18.67608695652174,1997,1,3,1,3,1,7,2,7
D. MacLean,0.5078125,0.4135021097046413,0.0943103902953586,7.0,0.717391304347826,6.282608695652174,46.150000000000006,1.82608695652174,44.32391304347826,1997,1,1,1,4,4,1,1,9
A. Gilliam,0.4855072463768116,0.4661458333333333,0.0193614130434782,14.5,1.6521739130434785,12.847826086956522,63.69999999999999,6.410869565217394,57.28913043478259,1997,0,1,4,0,4,4,8,4
L. Harris,0.3859649122807017,0.3777777777777777,0.0081871345029239,6.0,0.4782608695652174,5.521739130434782,30.099999999999994,1.6630434782608692,28.436956521739127,1997,1,1,1,4,1,1,1,7
E. Perry,0.4518072289156626,0.4863013698630137,-0.034494140947351,22.5,1.434782608695652,21.065217391304348,50.54999999999998,4.241304347826088,46.308695652173895,1997,0,1,4,0,4,4,4,4
D. Overton,0.3870967741935484,0.4453125,-0.0582157258064516,8.0,0.5,7.5,21.350000000000005,1.3021739130434784,20.04782608695653,1997,1,3,1,4,1,1,1,1
M. Davis,0.5,0.4545454545454545,0.0454545454545454,20.0,1.6956521739130437,18.30434782608696,62.75,4.106521739130433,58.64347826086957,1997,0,1,4,0,0,4,4,4
J. Newman,0.4,0.4751381215469613,-0.0751381215469613,22.0,1.5434782608695652,20.456521739130437,47.40000000000002,4.832608695652173,42.56739130434785,1997,0,1,4,0,4,4,4,4
J. Wolf,0.5517241379310345,0.4,0.1517241379310344,4.0,0.1304347826086956,3.869565217391304,11.0,0.3630434782608694,10.63695652173913,1997,1,3,1,1,6,7,7,7
D. Hancock,0.4761904761904761,0.4210526315789473,0.0551378446115288,2.0,0.1739130434782608,1.8260869565217392,10.55,-0.0391304347826087,10.589130434782607,1997,1,3,3,1,6,7,7,7
D. Wood,0.5217391304347826,0.5333333333333333,-0.0115942028985507,2.0,0.0434782608695652,1.9565217391304348,9.7,0.2456521739130434,9.454347826086956,1997,1,3,3,3,6,2,2,2
F. Spencer,0.4090909090909091,0.5,-0.0909090909090908,4.5,1.6956521739130437,2.8043478260869565,1.400000000000002,3.4652173913043485,-2.0652173913043463,1997,1,3,3,3,6,2,2,1
C. Webber,0.5684647302904564,0.5083682008368201,0.0600965294536363,27.0,4.173913043478261,22.82608695652174,99.15,13.95434782608696,85.19565217391305,1997,0,0,0,5,0,0,0,8
A. Hardaway,0.3872340425531915,0.4675642594859241,-0.0803302169327326,9.5,2.9347826086956523,6.565217391304348,84.3,13.093478260869563,71.20652173913044,1997,0,1,4,0,4,4,8,9
D. Royal,0.396551724137931,0.4382022471910112,-0.0416505230530802,8.0,0.6739130434782609,7.326086956521739,22.450000000000003,1.4826086956521731,20.967391304347828,1997,1,1,1,4,1,1,1,1
C. Cheaney,0.4923076923076923,0.5046875,-0.0123798076923076,7.0,1.8478260869565215,5.152173913043479,45.4,7.802173913043479,37.59782608695652,1997,1,1,1,4,1,1,1,9
R. Strickland,0.4334763948497854,0.4718614718614718,-0.0383850770116864,22.5,5.130434782608695,17.369565217391305,88.39999999999998,11.773913043478268,76.6260869565217,1997,0,0,4,0,0,4,4,8
J. Howard,0.4384615384615384,0.495897903372835,-0.0574363649112965,26.0,4.282608695652174,21.717391304347828,81.20000000000002,14.706521739130435,66.49347826086958,1997,0,0,4,0,0,4,4,8
H. Grant,0.4533333333333333,0.4860788863109048,-0.0327455529775715,10.0,2.369565217391304,7.630434782608695,58.650000000000006,14.145652173913042,44.50434782608696,1997,0,1,4,4,4,1,1,9
N. Anderson,0.4010989010989011,0.3920552677029361,0.009043633395965,5.5,1.7608695652173914,3.739130434782608,49.95,6.793478260869566,43.15652173913044,1997,1,1,1,4,4,1,1,9
J. Jackson,0.4101123595505618,0.4336372847011145,-0.0235249251505527,31.5,4.478260869565218,27.02173913043478,105.0,11.547826086956524,93.45217391304348,1997,0,0,0,5,0,0,0,0
B. Wallace,0.3333333333333333,0.3846153846153846,-0.0512820512820513,6.0,0.1304347826086956,5.869565217391305,0.6499999999999995,0.0413043478260869,0.6086956521739125,1997,1,3,3,3,6,2,2,1
T. Murray,0.4317343173431734,0.4302059496567506,0.0015283676864228,15.5,1.1956521739130437,14.304347826086955,100.7,6.286956521739133,94.41304347826087,1997,0,0,0,0,0,4,8,8
B. Shaw,0.3141025641025641,0.3773087071240105,-0.0632061430214464,25.0,2.782608695652174,22.217391304347828,19.65000000000001,1.797826086956522,17.852173913043483,1997,0,1,1,4,4,1,4,4
G. Wilkins,0.4184100418410041,0.4230088495575221,-0.0045988077165179,18.5,1.934782608695652,16.565217391304348,53.150000000000006,5.671739130434782,47.478260869565226,1997,0,1,4,0,4,4,4,4
C. Whitney,0.4335664335664335,0.4114583333333333,0.0221081002331002,13.5,1.0,12.5,57.69999999999999,2.245652173913044,55.45434782608695,1997,0,1,4,0,4,4,8,9
D. Strong,0.4627659574468085,0.4474885844748858,0.0152773729719226,14.5,1.891304347826087,12.608695652173914,73.75000000000001,6.213043478260869,67.53695652173914,1997,0,1,4,0,4,4,8,8
D. Vaughn,0.4,0.4468085106382978,-0.0468085106382978,5.0,0.4130434782608695,4.586956521739131,3.0500000000000007,0.4956521739130434,2.554347826086957,1997,1,3,3,3,6,2,2,1
D. Armstrong,0.3885714285714285,0.3962264150943396,-0.007654986522911,21.0,1.391304347826087,19.608695652173918,44.39999999999999,2.313043478260871,42.08695652173912,1997,0,1,4,0,4,4,4,4
A. Mourning,0.5376884422110553,0.5232300884955752,0.01445835371548,36.5,4.8478260869565215,31.65217391304348,79.85,14.906521739130437,64.94347826086955,1997,0,0,0,0,0,4,4,8
T. Corbin,0.391304347826087,0.4332755632582322,-0.0419712154321452,8.0,1.8043478260869563,6.195652173913043,38.7,7.232608695652172,31.46739130434783,1997,1,1,1,4,1,1,1,9
K. Thomas,0.3,0.388235294117647,-0.088235294117647,2.0,0.4565217391304347,1.5434782608695652,0.7999999999999985,0.8739130434782609,-0.0739130434782624,1997,1,3,3,3,6,2,2,1
S. Danilovic,0.4244604316546763,0.4385150812064965,-0.0140546495518202,13.0,1.9565217391304348,11.043478260869565,44.35,4.6673913043478255,39.68260869565218,1997,0,1,1,4,4,1,1,9
D. Majerle,0.3779527559055118,0.4124629080118694,-0.0345101521063576,10.0,0.9347826086956522,9.065217391304348,38.25,4.95,33.3,1997,1,1,1,4,1,1,1,9
S. Smith,0.4372881355932203,0.4200595829195631,0.0172285526736572,22.5,3.5434782608695654,18.956521739130437,113.60000000000002,12.080434782608696,101.51956521739132,1997,0,0,0,5,0,0,0,8
T. Hardaway,0.3591160220994475,0.4186401833460657,-0.0595241612466181,29.5,4.869565217391305,24.630434782608692,104.75000000000004,15.976086956521744,88.77391304347829,1997,0,0,0,5,0,0,0,8
D. Mutombo,0.5492957746478874,0.5345345345345346,0.0147612401133527,21.5,3.5434782608695654,17.956521739130434,80.19999999999999,14.182608695652176,66.01739130434781,1997,0,0,4,0,0,4,4,8
M. Blaylock,0.4291187739463601,0.4277566539923954,0.0013621199539647,19.0,3.9565217391304346,15.043478260869566,101.05000000000004,15.145652173913042,85.90434782608699,1997,0,0,4,0,0,4,8,8
C. Laettner,0.4246031746031746,0.488824101068999,-0.0642209264658244,26.5,4.260869565217392,22.23913043478261,95.00000000000004,16.493478260869562,78.50652173913046,1997,0,0,0,0,0,4,4,8
J. Barry,0.4242424242424242,0.3866666666666666,0.0375757575757575,13.0,0.717391304347826,12.282608695652174,38.05000000000001,1.6152173913043475,36.43478260869566,1997,0,1,1,4,4,1,1,4
K. Norman,0.358974358974359,0.2363636363636363,0.1226107226107226,4.5,0.1956521739130435,4.304347826086956,2.6500000000000004,-0.1217391304347825,2.771739130434783,1997,1,3,3,1,6,7,7,7
P. Brown,0.4132231404958678,0.457680250783699,-0.0444571102878312,11.5,2.3043478260869565,9.195652173913045,53.650000000000006,9.28478260869565,44.36521739130436,1997,0,1,4,4,4,1,1,9
K. Askins,0.4352941176470588,0.4319066147859922,0.0033875028610665,8.0,1.0,7.0,28.200000000000003,3.6021739130434787,24.597826086956523,1997,1,1,1,4,1,1,1,7
I. Austin,0.492063492063492,0.4971751412429379,-0.0051116491794458,26.5,2.8043478260869565,23.695652173913043,62.7,6.286956521739128,56.41304347826088,1997,0,0,4,0,0,4,4,4
I. Newbill,0.4210526315789473,0.4528301886792453,-0.0317775571002979,8.5,0.5652173913043478,7.934782608695652,2.1000000000000014,0.7521739130434782,1.3478260869565233,1997,1,3,3,3,1,2,2,1
G. Grant,0.3157894736842105,0.375,-0.0592105263157894,4.0,0.4130434782608695,3.5869565217391304,7.949999999999999,0.3456521739130433,7.604347826086956,1997,1,3,3,3,6,2,2,1
E. Recasner,0.4140625,0.4274193548387097,-0.0133568548387096,15.0,0.9130434782608696,14.08695652173913,33.85,2.7586956521739125,31.09130434782609,1997,0,1,1,4,4,1,1,4
Z. Tabak,0.5625,0.4181818181818181,0.1443181818181818,2.5,0.3478260869565217,2.1521739130434785,7.500000000000002,0.2999999999999999,7.200000000000002,1997,1,3,3,1,6,7,7,7
P. Ewing,0.4701492537313433,0.5004516711833785,-0.0303024174520352,35.5,4.891304347826087,30.608695652173918,127.20000000000005,17.73043478260869,109.46956521739136,1997,0,0,0,5,5,0,0,0
W. Williams,0.3934426229508196,0.4342928660826032,-0.0408502431317835,18.5,2.9782608695652173,15.521739130434783,55.800000000000026,10.058695652173911,45.74130434782612,1997,0,1,4,0,4,4,4,4
D. Stoudamire,0.377892030848329,0.4096267190569744,-0.0317346882086453,41.0,4.478260869565218,36.52173913043478,100.85,11.160869565217393,89.6891304347826,1997,0,0,0,5,5,0,0,0
C. Ward,0.3402061855670103,0.4044943820224719,-0.0642881964554615,23.0,2.5217391304347827,20.47826086956522,27.750000000000007,1.9304347826086965,25.81956521739131,1997,0,1,4,4,4,1,4,4
P. Jones,0.4673913043478261,0.4820627802690583,-0.0146714759212321,15.0,1.8695652173913044,13.130434782608695,30.75,6.72391304347826,24.02608695652174,1997,1,1,1,4,1,1,1,4
A. Houston,0.4463519313304721,0.4195278969957081,0.0268240343347639,22.0,3.1956521739130435,18.80434782608696,78.6,8.97826086956522,69.62173913043478,1997,0,0,4,0,0,4,4,8
L. Johnson,0.4672131147540984,0.5246376811594203,-0.0574245664053219,12.0,2.760869565217391,9.23913043478261,44.250000000000014,11.130434782608695,33.11956521739132,1997,1,1,1,4,4,1,1,9
D. Christie,0.3772455089820359,0.4258312020460358,-0.0485856930639999,17.0,3.608695652173913,13.391304347826086,60.35000000000001,12.034782608695652,48.31521739130436,1997,0,1,4,0,4,4,4,4
B. Williams,0.5277777777777778,0.5335968379446641,-0.0058190601668862,15.0,1.1521739130434785,13.847826086956522,41.3,4.67391304347826,36.62608695652175,1997,0,1,4,4,4,1,1,4
J. Starks,0.4307692307692308,0.4333333333333333,-0.0025641025641025,35.0,2.347826086956522,32.65217391304348,104.45,7.695652173913044,96.75434782608694,1997,0,0,0,5,5,0,0,0
H. Williams,0.4588235294117647,0.4861460957178841,-0.0273225663061194,4.0,1.4782608695652173,2.5217391304347827,46.69999999999999,7.28913043478261,39.41086956521738,1997,1,1,1,4,1,1,1,9
C. Rogers,0.55,0.5081967213114754,0.0418032786885246,5.5,0.9130434782608696,4.586956521739131,75.5,4.291304347826087,71.20869565217392,1997,0,1,4,0,4,4,8,9
J. Wallace,0.5285714285714286,0.4917127071823204,0.0368587213891081,12.0,1.173913043478261,10.826086956521738,27.5,1.9847826086956524,25.515217391304347,1997,1,1,1,4,1,1,1,9
M. Camby,0.5397727272727273,0.4651162790697674,0.0746564482029598,14.0,2.3043478260869565,11.695652173913045,70.30000000000001,7.191304347826086,63.10869565217393,1997,0,1,4,0,4,4,8,8
S. Brooks,0.5625,0.44,0.1225,3.0,0.2391304347826087,2.760869565217391,13.85,0.1347826086956521,13.71521739130435,1997,1,3,1,1,6,7,7,7
S. Wright,0.5,0.3826086956521739,0.117391304347826,8.0,1.673913043478261,6.326086956521739,12.299999999999995,0.8673913043478269,11.43260869565217,1997,1,3,1,1,1,7,7,7
H. Davis,0.3970588235294117,0.4051724137931034,-0.0081135902636916,1.0,0.4130434782608695,0.5869565217391304,13.1,0.8521739130434784,12.247826086956524,1997,1,3,3,3,6,2,2,2
D. Whiteside,0.5,0.2432432432432432,0.2567567567567567,3.5,0.217391304347826,3.282608695652174,7.849999999999998,-0.0260869565217391,7.876086956521737,1997,2,2,2,1,2,5,5,5
O. Thorpe,0.5945945945945946,0.5176470588235295,0.0769475357710651,14.0,2.760869565217391,11.23913043478261,71.59999999999998,10.213043478260868,61.38695652173911,1997,0,1,4,0,4,4,8,9
A. Davis,0.4397163120567376,0.4930139720558882,-0.0532976599991505,19.0,2.239130434782609,16.76086956521739,41.74999999999999,8.241304347826086,33.508695652173905,1997,0,1,4,4,4,1,4,4
G. Long,0.5692307692307692,0.4122807017543859,0.1569500674763832,6.5,0.7608695652173914,5.739130434782608,38.2,2.930434782608696,35.2695652173913,1997,1,1,1,1,1,7,7,7
G. Hill,0.4831804281345566,0.4946859903381642,-0.0115055622036076,36.0,4.478260869565218,31.52173913043478,145.3,17.180434782608696,128.1195652173913,1997,0,0,0,5,5,0,0,0
J. Dumars,0.4264705882352941,0.4371584699453552,-0.010687881710061,8.0,2.565217391304348,5.434782608695652,87.45000000000002,10.70217391304348,76.74782608695654,1997,0,1,4,0,4,4,8,8
D. Davis,0.5669291338582677,0.5311942959001783,0.0357348379580894,12.0,1.826086956521739,10.173913043478262,53.95,9.341304347826089,44.60869565217392,1997,0,1,4,4,4,1,8,9
D. McKey,0.4,0.3883495145631068,0.0116504854368932,7.0,1.5,5.5,25.05000000000001,2.402173913043478,22.64782608695653,1997,1,3,1,4,1,1,1,7
M. Curry,0.4125,0.4685314685314685,-0.0560314685314685,7.5,0.2826086956521739,7.217391304347826,32.8,2.645652173913043,30.154347826086955,1997,1,1,1,4,1,1,1,9
T. Mills,0.4533333333333333,0.4398496240601504,0.0134837092731829,11.0,1.4565217391304348,9.543478260869565,77.25,7.939130434782609,69.31086956521739,1997,0,1,4,0,4,4,8,8
R. Miller,0.4089219330855018,0.4533333333333333,-0.0444114002478314,19.0,2.782608695652174,16.217391304347828,112.6,16.856521739130432,95.74347826086957,1997,0,0,0,5,0,0,0,8
R. Mahorn,0.3333333333333333,0.3617021276595745,-0.0283687943262411,2.0,0.1304347826086956,1.8695652173913044,1.6999999999999984,0.2869565217391303,1.413043478260868,1997,1,3,3,3,6,2,2,2
L. Hunter,0.3900414937759336,0.4106113033448673,-0.0205698095689337,9.0,1.7173913043478262,7.282608695652174,75.75000000000003,10.930434782608698,64.81956521739133,1997,0,1,4,0,4,4,8,9
T. Best,0.4268292682926829,0.4473684210526316,-0.0205391527599486,22.5,2.347826086956522,20.15217391304348,43.49999999999999,4.995652173913043,38.50434782608694,1997,0,1,4,0,4,4,4,4
S. Augmon,0.4938271604938271,0.4620689655172413,0.0317581949765857,8.5,1.0434782608695652,7.456521739130435,31.5,1.689130434782609,29.81086956521739,1997,1,1,1,4,1,1,1,9
R. Williams,0.3333333333333333,0.4,-0.0666666666666667,2.5,0.1521739130434782,2.347826086956521,2.6499999999999995,0.4434782608695653,2.206521739130434,1997,1,3,3,3,6,2,2,1
B. Scott,0.4759036144578313,0.4068441064638783,0.069059507993953,13.0,0.8478260869565217,12.152173913043478,85.50000000000001,3.743478260869565,81.75652173913045,1997,0,0,4,0,0,4,8,8
H. Workman,0.4,0.6,-0.1999999999999999,0.5,0.0869565217391304,0.4130434782608695,0.1999999999999998,0.1673913043478261,0.0326086956521737,1997,1,3,3,3,3,2,2,1
J. Rose,0.4452054794520548,0.4632034632034632,-0.0179979837514084,18.0,1.5434782608695652,16.456521739130434,52.45000000000002,2.13695652173913,50.31304347826089,1997,0,1,4,0,4,4,4,4
T. Ratliff,0.5076923076923077,0.5398550724637681,-0.0321627647714604,5.0,1.065217391304348,3.934782608695652,19.9,4.371739130434782,15.528260869565216,1997,1,3,1,3,1,2,2,1
J. Allen,0.4215686274509804,0.288135593220339,0.1334330342306414,12.0,0.9782608695652174,11.021739130434783,27.450000000000003,-0.1369565217391305,27.586956521739133,1997,1,1,1,4,1,1,1,7
S. Vrankovic,0.6666666666666666,0.5333333333333333,0.1333333333333333,5.5,0.8913043478260869,4.608695652173913,7.899999999999999,1.147826086956521,6.752173913043477,1997,1,3,1,1,6,7,7,7
D. West,0.4339622641509434,0.4746136865342163,-0.0406514223832729,5.5,1.2173913043478262,4.282608695652174,12.450000000000005,4.715217391304347,7.734782608695656,1997,1,3,3,3,6,2,2,1
S. Elliott,0.3711340206185567,0.4359673024523161,-0.0648332818337593,8.5,1.565217391304348,6.934782608695652,22.000000000000007,4.82608695652174,17.173913043478265,1997,1,3,1,4,1,1,1,1
C. Herrera,0.4692307692307692,0.4233261339092872,0.0459046353214819,10.0,1.6304347826086956,8.369565217391305,33.25,4.0086956521739125,29.241304347826087,1997,1,1,1,4,1,1,1,9
A. Johnson,0.5615384615384615,0.4576576576576576,0.1038808038808039,17.0,2.4347826086956523,14.565217391304348,50.94999999999999,5.545652173913045,45.40434782608694,1997,0,1,4,0,4,4,4,4
V. Del Negro,0.5166666666666667,0.4525790349417637,0.064087631724903,12.5,1.4565217391304348,11.043478260869565,69.6,6.906521739130433,62.69347826086956,1997,0,1,4,0,4,4,8,9
S. Marbury,0.3846153846153846,0.413986013986014,-0.0293706293706293,21.0,3.847826086956522,17.152173913043477,56.40000000000002,6.691304347826086,49.70869565217394,1997,0,1,4,0,4,4,4,4
