player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year
K. Perkins,0.6461538461538462,0.5685185185185185,0.07763532763532766,15.0,3.652173913043478,11.347826086956522,27.799999999999997,8.221739130434784,19.578260869565213,2009
R. Rondo,0.41875,0.4975669099756691,-0.07881690997566909,19.0,4.543478260869565,14.456521739130434,43.59999999999999,12.204347826086954,31.395652173913035,2009
D. West,0.42857142857142855,0.4735311227457824,-0.04495969417435386,29.5,5.304347826086956,24.195652173913043,143.2,25.74782608695652,117.45217391304347,2009
K. Garnett,0.5242718446601942,0.5321821036106751,-0.00791025895048092,8.0,1.608695652173913,6.391304347826087,41.5,11.071739130434787,30.428260869565214,2009
L. James,0.4715261958997722,0.49865410497981155,-0.02712790908003937,33.0,4.630434782608695,28.369565217391305,204.4,29.68260869565218,174.7173913043478,2009
P. Pierce,0.44545454545454544,0.4552238805970149,-0.00976933514246947,28.5,4.434782608695652,24.065217391304348,134.64999999999998,17.358695652173918,117.29130434782606,2009
R. Allen,0.4476987447698745,0.4716981132075472,-0.023999368437672697,9.5,3.0434782608695654,6.456521739130435,100.80000000000001,17.197826086956525,83.60217391304349,2009
Z. Ilgauskas,0.4782608695652174,0.46720214190093706,0.011058727664280343,4.0,1.9782608695652173,2.0217391304347827,49.75,9.621739130434786,40.12826086956521,2009
M. Williams,0.4435146443514644,0.45904887714663145,-0.015534232795167024,28.5,5.043478260869565,23.456521739130434,187.45000000000002,22.24782608695652,165.2021739130435,2009
B. Wallace,0.3333333333333333,0.47058823529411764,-0.13725490196078433,0.5,0.782608695652174,-0.28260869565217395,7.3999999999999995,3.42608695652174,3.9739130434782597,2009
E. House,0.43884892086330934,0.46518105849582175,-0.02633213763251241,11.5,0.8260869565217391,10.673913043478262,105.85,5.623913043478259,100.22608695652174,2009
W. Szczerbiak,0.39805825242718446,0.4652567975830816,-0.06719854515589713,7.0,1.0869565217391304,5.913043478260869,34.95000000000001,5.163043478260871,29.78695652173914,2009
L. Powe,0.5040650406504065,0.5315315315315315,-0.027466490881125072,12.5,1.1304347826086956,11.369565217391305,55.300000000000026,4.497826086956521,50.802173913043504,2009
T. Allen,0.5267857142857143,0.45555555555555555,0.07123015873015875,17.5,0.9347826086956522,16.565217391304348,39.35,2.1739130434782616,37.17608695652174,2009
A. Varejao,0.6831683168316832,0.49896907216494846,0.18419924466673476,7.5,1.7391304347826086,5.760869565217392,75.4,8.584782608695651,66.81521739130436,2009
D. Gibson,0.4461538461538462,0.3548387096774194,0.0913151364764268,10.0,1.0434782608695652,8.956521739130435,70.75000000000001,2.769565217391305,67.98043478260871,2009
S. Pavlovic,0.4077669902912621,0.4375,-0.02973300970873788,11.0,0.6304347826086957,10.369565217391305,15.500000000000007,2.010869565217392,13.489130434782615,2009
L. Wright,0.625,0.2631578947368421,0.3618421052631579,2.0,0.10869565217391304,1.891304347826087,1.2999999999999998,-0.026086956521739115,1.326086956521739,2009
G. Davis,0.46113989637305697,0.4537037037037037,0.007436192669353248,12.0,1.4565217391304348,10.543478260869565,72.35000000000002,5.0086956521739125,67.34130434782611,2009
D. Gooden,0.4563106796116505,0.4610091743119266,-0.004698494700276112,5.5,1.4782608695652173,4.021739130434783,43.500000000000014,5.669565217391304,37.83043478260871,2009
A. Bogut,0.6792452830188679,0.5568181818181818,0.12242710120068612,8.0,1.5217391304347827,6.478260869565217,27.1,4.199999999999998,22.900000000000002,2009
D. Rose,0.4595375722543353,0.48268839103869654,-0.02315081878436126,26.5,4.0,22.5,108.70000000000002,10.02826086956522,98.6717391304348,2009
M. Redd,0.2815533980582524,0.4954954954954955,-0.21394209743724307,4.0,0.9782608695652174,3.0217391304347827,12.400000000000002,8.143478260869566,4.256521739130436,2009
R. Jefferson,0.41245136186770426,0.4466321243523316,-0.03418076248462737,24.5,2.5217391304347827,21.97826086956522,77.25,14.832608695652173,62.41739130434783,2009
C. Villanueva,0.4602510460251046,0.4435294117647059,0.016721634260398688,16.5,2.282608695652174,14.217391304347826,73.05,10.860869565217392,62.189130434782605,2009
L. Deng,0.4411764705882353,0.4498977505112474,-0.008721279923012137,8.0,1.2173913043478262,6.782608695652174,44.2,6.965217391304347,37.23478260869565,2009
L. Ridnour,0.375,0.4109014675052411,-0.03590146750524109,12.5,2.239130434782609,10.26086956521739,43.55,4.513043478260869,39.03695652173913,2009
