player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year
A. Horford,0.49333333333333335,0.5211726384364821,-0.027839305103148748,9.0,2.108695652173913,6.891304347826087,68.10000000000001,10.160869565217391,57.93913043478262,2019
R. Covington,0.4444444444444444,0.4153846153846154,0.029059829059829012,2.5,0.9130434782608695,1.5869565217391304,40.050000000000004,4.302173913043478,35.74782608695653,2019
J. Tatum,0.4263959390862944,0.46415981198589895,-0.037763872899604534,13.0,2.217391304347826,10.782608695652174,76.75,12.919565217391305,63.83043478260869,2019
D. Saric,0.38926174496644295,0.45271629778672035,-0.0634545528202774,9.0,1.565217391304348,7.434782608695652,47.59999999999999,8.023913043478261,39.57608695652173,2019
B. Simmons,0.5952380952380952,0.5638820638820639,0.03135603135603138,32.5,4.673913043478261,27.82608695652174,75.64999999999998,14.147826086956524,61.50217391304345,2019
G. Hayward,0.45161290322580644,0.4560669456066946,-0.004454042380888146,11.0,1.891304347826087,9.108695652173914,73.20000000000002,6.99130434782609,66.20869565217393,2019
J. Brown,0.5025125628140703,0.4600694444444444,0.04244311836962589,16.5,1.6304347826086956,14.869565217391305,72.75,8.158695652173913,64.59130434782608,2019
J. Embiid,0.42950819672131146,0.49221183800623053,-0.06270364128491906,33.5,3.9565217391304346,29.543478260869566,105.29999999999998,20.0195652173913,85.28043478260868,2019
K. Irving,0.46598639455782315,0.4722502522704339,-0.006263857712610732,15.0,3.282608695652174,11.717391304347826,121.69999999999999,14.191304347826089,107.5086956521739,2019
M. Fultz,0.38461538461538464,0.4263565891472868,-0.041741204531902165,2.0,0.45652173913043476,1.5434782608695652,5.500000000000001,1.0282608695652173,4.471739130434783,2019
J. Redick,0.39819004524886875,0.4498186215235792,-0.05162857627471046,12.0,1.891304347826087,10.108695652173914,73.85,12.630434782608694,61.2195652173913,2019
T. Rozier,0.328125,0.4008714596949891,-0.07274645969498911,15.0,0.8478260869565217,14.152173913043478,38.35000000000001,6.486956521739132,31.863043478260877,2019
A. Johnson,0.5294117647058824,0.4583333333333333,0.07107843137254904,3.0,0.8043478260869565,2.1956521739130435,25.750000000000007,1.067391304347826,24.68260869565218,2019
M. Morris Sr.,0.49333333333333335,0.4406015037593985,0.05273182957393485,10.5,1.4130434782608696,9.08695652173913,72.2,10.55,61.650000000000006,2019
M. Smart,0.3978494623655914,0.4218362282878412,-0.023986765922249798,13.0,1.891304347826087,11.108695652173914,38.75000000000001,5.982608695652176,32.76739130434783,2019
A. Baynes,0.42857142857142855,0.4972972972972973,-0.06872586872586878,3.5,0.7608695652173914,2.7391304347826084,10.45,3.023913043478261,7.426086956521738,2019
T. McConnell,0.48484848484848486,0.5263157894736842,-0.04146730462519932,11.5,1.434782608695652,10.065217391304348,26.799999999999997,4.221739130434782,22.578260869565213,2019
L. Shamet,0.34545454545454546,0.43847874720357943,-0.09302420174903397,3.0,0.9782608695652174,2.0217391304347827,31.79999999999999,6.8630434782608685,24.93695652173912,2019
D. Theis,0.5316455696202531,0.5120481927710844,0.019597376849168735,4.5,0.43478260869565216,4.065217391304348,31.400000000000006,2.7086956521739136,28.69130434782609,2019
S. Ojeleye,0.4166666666666667,0.4318181818181818,-0.015151515151515138,5.5,0.15217391304347827,5.3478260869565215,16.85,1.326086956521739,15.523913043478263,2019
B. Wanamaker,0.4,0.5813953488372093,-0.1813953488372093,4.5,0.2391304347826087,4.260869565217392,18.800000000000004,0.9695652173913045,17.830434782608698,2019
D. Jones,0.8,0.7321428571428571,0.06785714285714295,1.0,0.32608695652173914,0.6739130434782609,7.949999999999999,1.3869565217391306,6.563043478260869,2019
K. Thompson,0.43243243243243246,0.4670373312152502,-0.03460489878281775,14.5,2.391304347826087,12.108695652173914,101.90000000000002,18.417391304347827,83.48260869565219,2019
S. Adams,0.6033057851239669,0.5904761904761905,0.012829594647776443,10.0,2.369565217391304,7.630434782608695,60.400000000000006,13.29565217391304,47.104347826086965,2019
P. George,0.436046511627907,0.43900414937759336,-0.0029576377496863815,18.5,3.652173913043478,14.847826086956522,173.15000000000003,20.380434782608695,152.76956521739135,2019
S. Curry,0.425891181988743,0.47066090179122916,-0.044769719802486174,33.5,5.021739130434782,28.47826086956522,195.15,29.245652173913047,165.90434782608696,2019
D. Schroder,0.4306784660766962,0.406025824964132,0.02465264111256421,22.0,2.4130434782608696,19.58695652173913,88.3,6.797826086956523,81.50217391304348,2019
K. Durant,0.46735395189003437,0.5360995850622406,-0.06874563317220628,20.0,4.543478260869565,15.456521739130434,116.04999999999998,24.197826086956525,91.85217391304346,2019
D. Green,0.4577777777777778,0.44727272727272727,0.010505050505050517,28.0,5.891304347826087,22.108695652173914,80.1,15.863043478260865,64.23695652173913,2019
P. Patterson,0.4339622641509434,0.348993288590604,0.08496897556033939,3.0,0.2826086956521739,2.717391304347826,20.15,1.5413043478260877,18.60869565217391,2019
T. Ferguson,0.34285714285714286,0.45396825396825397,-0.1111111111111111,4.5,0.782608695652174,3.717391304347826,8.849999999999998,3.954347826086956,4.895652173913042,2019
K. Looney,0.6179775280898876,0.6560509554140127,-0.03807342732412511,4.5,1.0869565217391304,3.4130434782608696,43.349999999999994,7.906521739130436,35.44347826086956,2019
