player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year
T. Duncan,0.463768115942029,0.4921030756442228,-0.028334959702193796,19.0,3.9347826086956523,15.065217391304348,97.25,20.37391304347826,76.87608695652173,2008
L. Aldridge,0.5276381909547738,0.4745057232049948,0.05313246774977903,12.5,2.1956521739130435,10.304347826086957,74.4,12.826086956521744,61.573913043478264,2008
M. Finley,0.3487394957983193,0.4365079365079365,-0.0877684407096172,7.0,1.0434782608695652,5.956521739130435,46.249999999999986,8.391304347826088,37.8586956521739,2008
J. Przybilla,0.6153846153846154,0.5687203791469194,0.046664236237696,4.5,1.8695652173913044,2.6304347826086953,20.85,4.517391304347825,16.332608695652176,2008
B. Roy,0.43197278911564624,0.4611872146118721,-0.029214425496225882,16.5,2.239130434782609,14.26086956521739,105.05000000000001,11.963043478260872,93.08695652173914,2008
F. Oberto,0.6610169491525424,0.5971731448763251,0.06384380427621728,7.0,1.108695652173913,5.891304347826087,30.6,5.645652173913042,24.95434782608696,2008
T. Parker,0.49809885931558934,0.49355432780847147,0.004544531507117866,18.0,3.869565217391304,14.130434782608695,88.44999999999999,14.395652173913048,74.05434782608694,2008
M. Webster,0.4166666666666667,0.4232142857142857,-0.006547619047619024,5.5,1.565217391304348,3.9347826086956523,30.500000000000007,7.726086956521738,22.77391304347827,2008
J. Jack,0.467005076142132,0.41371158392434987,0.053293492217782124,32.0,2.4782608695652173,29.52173913043478,82.85000000000001,4.493478260869565,78.35652173913044,2008
B. Bowen,0.4318181818181818,0.3995381062355658,0.03228007558261603,3.0,1.065217391304348,1.934782608695652,32.70000000000001,5.021739130434784,27.678260869565225,2008
M. Ginobili,0.4620938628158845,0.4504792332268371,0.01161462958904741,26.5,4.217391304347826,22.282608695652172,140.24999999999997,15.554347826086959,124.69565217391302,2008
S. Blake,0.41836734693877553,0.4059040590405904,0.012463287898185127,10.0,2.0217391304347827,7.978260869565217,23.049999999999997,5.295652173913043,17.754347826086956,2008
M. Bonner,0.3706896551724138,0.449438202247191,-0.07874854707477719,10.5,0.391304347826087,10.108695652173912,22.75,2.4499999999999997,20.3,2008
T. Outlaw,0.4406779661016949,0.4278688524590164,0.012809113642678505,17.0,1.5869565217391304,15.41304347826087,115.54999999999998,6.845652173913043,108.70434782608694,2008
D. Washington,0.38095238095238093,0.48148148148148145,-0.10052910052910052,3.0,0.17391304347826086,2.8260869565217392,3.0999999999999988,0.21304347826086967,2.886956521739129,2008
J. Jones,0.4112903225806452,0.45320197044334976,-0.04191164786270457,3.0,0.4782608695652174,2.5217391304347827,55.29999999999999,3.9347826086956523,51.36521739130434,2008
S. Rodriguez,0.4339622641509434,0.32167832167832167,0.11228394247262174,7.5,0.8260869565217391,6.673913043478261,14.900000000000006,0.01304347826086975,14.886956521739135,2008
