player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year
T. Thompson,0.5344827586206896,0.6063829787234043,-0.07190022010271468,4.5,1.6521739130434783,2.8478260869565215,38.699999999999996,11.780434782608697,26.9195652173913,2017
D. Rose,0.49047619047619045,0.4654498044328553,0.02502638604333518,18.5,2.391304347826087,16.108695652173914,62.400000000000006,9.854347826086956,52.54565217391305,2017
K. Love,0.38016528925619836,0.4346473029045643,-0.05448201364836597,13.5,2.739130434782609,10.76086956521739,54.45,18.510869565217387,35.93913043478261,2017
J. Noah,0.68,0.4632768361581921,0.21672316384180795,3.5,1.108695652173913,2.391304347826087,19.849999999999998,2.4217391304347826,17.428260869565214,2017
C. Anthony,0.396,0.44161545215100967,-0.04561545215100965,12.0,2.8043478260869565,9.195652173913043,78.1,15.289130434782612,62.81086956521738,2017
K. Porzingis,0.46638655462184875,0.4444444444444444,0.021942110177404328,14.5,1.934782608695652,12.565217391304348,86.7,10.008695652173913,76.69130434782609,2017
L. James,0.5198019801980198,0.5612708018154312,-0.04146882161741139,43.5,6.239130434782608,37.26086956521739,182.15000000000003,25.72826086956522,156.42173913043482,2017
K. Irving,0.41002949852507375,0.4861878453038674,-0.07615834677879363,17.0,4.217391304347826,12.782608695652174,108.65000000000003,22.097826086956516,86.55217391304352,2017
C. Lee,0.4959349593495935,0.4475043029259897,0.04843065642360378,7.5,1.173913043478261,6.326086956521739,51.20000000000001,8.597826086956522,42.60217391304349,2017
J. Smith,0.5192307692307693,0.4255639097744361,0.09366685945633318,13.0,1.7391304347826086,11.26086956521739,64.2,8.041304347826092,56.15869565217391,2017
B. Jennings,0.3827751196172249,0.34806629834254144,0.034708821274683443,16.5,2.239130434782609,14.26086956521739,60.45,2.3282608695652165,58.12173913043479,2017
K. O'Quinn,0.5111111111111111,0.5232198142414861,-0.012108703130375043,8.0,1.3043478260869565,6.695652173913043,32.35,5.206521739130434,27.143478260869568,2017
I. Shumpert,0.4358974358974359,0.4050925925925926,0.030804843304843288,13.0,1.2608695652173914,11.73913043478261,41.55,5.38913043478261,36.16086956521739,2017
R. Jefferson,0.504,0.4140625,0.0899375,9.0,0.9130434782608695,8.08695652173913,50.099999999999994,3.2543478260869563,46.84565217391304,2017
L. Thomas,0.36923076923076925,0.40782122905027934,-0.03859045981951009,1.5,0.4782608695652174,1.0217391304347827,21.449999999999996,2.2065217391304346,19.243478260869562,2017
S. Kerr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
W. Hernangomez,0.5130434782608696,0.5342857142857143,-0.021242236024844652,10.0,1.7391304347826086,8.26086956521739,44.64999999999999,6.273913043478261,38.37608695652173,2017
C. Frye,0.5029239766081871,0.44607843137254904,0.05684554523563806,8.0,0.8478260869565217,7.1521739130434785,79.10000000000001,6.839130434782609,72.2608695652174,2017
J. Holiday,0.42857142857142855,0.4520417853751187,-0.02347035680369014,35.0,4.130434782608695,30.869565217391305,112.1,13.40434782608696,98.69565217391303,2017
M. Dunleavy,0.4444444444444444,0.4129032258064516,0.03154121863799281,7.0,0.43478260869565216,6.565217391304348,25.4,2.2195652173913043,23.180434782608693,2017
