player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year
S. O'Neal,0.5061728395061729,0.5663157894736842,-0.06014294996751135,8.0,2.4565217391304346,5.543478260869565,20.05000000000001,7.084782608695652,12.96521739130436,2010
A. Varejao,0.5177304964539007,0.5721925133689839,-0.05446201691508323,10.5,1.2608695652173914,9.23913043478261,70.1,8.52608695652174,61.57391304347826,2010
R. Allen,0.41762452107279696,0.47834645669291337,-0.06072193562011641,14.0,2.9782608695652173,11.021739130434783,92.30000000000001,16.443478260869572,75.85652173913044,2010
L. James,0.4798206278026906,0.5104408352668214,-0.0306202074641308,31.5,5.195652173913044,26.304347826086957,223.65,25.169565217391302,198.4804347826087,2010
K. Garnett,0.4028436018957346,0.5406032482598608,-0.13775964636412624,13.5,2.282608695652174,11.217391304347826,54.750000000000014,15.956521739130439,38.79347826086958,2010
A. Parker,0.3088235294117647,0.4564755838641189,-0.1476520544523542,3.5,1.6304347826086956,1.8695652173913044,14.000000000000004,7.9173913043478255,6.082608695652178,2010
P. Pierce,0.40816326530612246,0.4759916492693111,-0.06782838396318863,20.0,4.130434782608695,15.869565217391305,79.05000000000001,18.084782608695658,60.96521739130435,2010
M. Williams,0.3948497854077253,0.44640522875816996,-0.05155544335044465,49.0,5.413043478260869,43.58695652173913,125.19999999999999,21.669565217391302,103.5304347826087,2010
R. Rondo,0.4791666666666667,0.5,-0.020833333333333315,28.0,5.695652173913044,22.304347826086957,79.64999999999999,13.293478260869568,66.35652173913043,2010
K. Perkins,0.5833333333333334,0.5879120879120879,-0.0045787545787545625,17.5,3.739130434782609,13.76086956521739,25.849999999999994,9.676086956521738,16.173913043478258,2010
Z. Ilgauskas,0.41,0.45014245014245013,-0.04014245014245016,11.0,0.9130434782608695,10.08695652173913,16.300000000000004,3.9586956521739136,12.34130434782609,2010
R. Wallace,0.375,0.4261682242990654,-0.05116822429906542,11.0,1.0869565217391304,9.91304347826087,60.44999999999999,6.791304347826087,53.658695652173904,2010
J. Hickson,0.5357142857142857,0.5594262295081968,-0.02371194379391106,5.5,1.891304347826087,3.608695652173913,25.350000000000005,8.673913043478262,16.676086956521743,2010
D. Gibson,0.46938775510204084,0.4576271186440678,0.01176063645797304,7.0,0.5217391304347826,6.478260869565218,36.550000000000004,2.569565217391304,33.9804347826087,2010
J. Moon,0.47619047619047616,0.46987951807228917,0.006310958118186993,6.0,0.2391304347826087,5.760869565217392,45.50000000000001,3.1826086956521746,42.31739130434783,2010
S. Williams,0.4943820224719101,0.4888888888888889,0.005493133583021226,11.5,0.717391304347826,10.782608695652174,41.59999999999998,1.1347826086956518,40.46521739130433,2010
M. Daniels,0.5476190476190477,0.46629213483146065,0.08132691278758702,7.0,0.6739130434782609,6.326086956521739,29.450000000000003,1.7608695652173916,27.689130434782612,2010
E. House,0.4117647058823529,0.3582089552238806,0.053555750658472345,11.5,0.5217391304347826,10.978260869565217,49.150000000000006,2.5369565217391297,46.61304347826088,2010
E. Dampier,0.6875,0.5873015873015873,0.10019841269841268,2.0,1.3695652173913044,0.6304347826086956,21.799999999999997,3.8608695652173908,17.939130434782605,2010
D. Nowitzki,0.4582278481012658,0.49461474730737365,-0.036386899206107826,18.5,2.652173913043478,15.847826086956522,178.45000000000002,22.126086956521732,156.32391304347829,2010
M. Miller,0.45121951219512196,0.5128205128205128,-0.06160100062539081,14.5,1.8695652173913044,12.630434782608695,25.25,6.182608695652173,19.067391304347826,2010
J. Kidd,0.4186046511627907,0.41496598639455784,0.00363866476823288,19.5,3.5869565217391304,15.91304347826087,59.84999999999998,8.660869565217391,51.18913043478259,2010
G. Arenas,0.40601503759398494,0.41200828157349895,-0.005993243979514007,13.5,1.9565217391304348,11.543478260869565,23.650000000000006,5.3869565217391315,18.263043478260876,2010
Q. Ross,0.5454545454545454,0.28205128205128205,0.26340326340326337,3.0,0.10869565217391304,2.891304347826087,8.500000000000004,1.544658121217609e-16,8.500000000000004,2010
C. Butler,0.4,0.43666666666666665,-0.036666666666666625,10.0,3.369565217391304,6.630434782608695,94.39999999999999,11.273913043478261,83.12608695652173,2010
S. Marion,0.5,0.5006858710562414,-0.000685871056241405,6.0,2.0652173913043477,3.9347826086956523,41.55,10.58695652173913,30.963043478260865,2010
